Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
150.0,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",FRENTE PARA LA VICTORIA,37.77,62.23,5443,8967,78.53,18531,14552,0.66,0.0,0.32,96,0,46,CHACO
151.0,CHACO_2 DE ABRIL,"2 De Abril, Chaco",FRENTE PARA LA VICTORIA,42.23,57.77,1917,2622,81.53,5608,4572,0.5,0.09,0.13,23,4,6,CHACO
152.0,CHACO_25 DE MAYO,"25 De Mayo, Chaco",FRENTE PARA LA VICTORIA,34.13,65.87,6150,11868,77.48,23477,18189,0.67,0.0,0.27,121,0,50,CHACO
153.0,CHACO_9 DE JULIO,"9 De Julio, Chaco",FRENTE PARA LA VICTORIA,41.5,58.5,7477,10541,80.32,22652,18195,0.43,0.02,0.52,79,4,94,CHACO
154.0,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",FRENTE PARA LA VICTORIA,31.57,68.43,6400,13872,76.0,26867,20419,0.46,0.02,0.24,93,4,50,CHACO
155.0,CHACO_BERMEJO,"Bermejo, Chaco",FRENTE PARA LA VICTORIA,31.91,68.09,5355,11428,78.35,21744,17037,1.17,0.02,0.3,200,3,51,CHACO
156.0,CHACO_CHACABUCO,"Chacabuco, Chaco",FRENTE PARA LA VICTORIA,44.94,55.06,8845,10835,80.0,24869,19894,0.52,0.05,0.51,103,9,102,CHACO
157.0,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",FRENTE PARA LA VICTORIA,47.88,52.12,27839,30303,78.73,75004,59051,0.71,0.03,0.8,421,15,473,CHACO
158.0,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",FRENTE PARA LA VICTORIA,39.31,60.69,2808,4335,76.58,9393,7193,0.51,0.06,0.13,37,4,9,CHACO
159.0,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",FRENTE PARA LA VICTORIA,27.99,72.01,1944,5002,74.51,9376,6986,0.47,0.0,0.1,33,0,7,CHACO
160.0,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",FRENTE PARA LA VICTORIA,35.63,64.37,3356,6062,83.94,11352,9529,0.75,0.03,0.39,71,3,37,CHACO
161.0,CHACO_GENERAL GUEMES,"General Guemes, Chaco",FRENTE PARA LA VICTORIA,28.54,71.46,12253,30683,73.36,59160,43399,0.71,0.01,0.35,306,4,153,CHACO
162.0,CHACO_INDEPENDENCIA,"Independencia, Chaco",FRENTE PARA LA VICTORIA,29.22,70.78,3867,9368,77.34,17235,13329,0.43,0.0,0.28,57,0,37,CHACO
163.0,CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",FRENTE PARA LA VICTORIA,35.99,64.01,13239,23543,79.04,47070,37204,0.55,0.0,0.58,205,1,216,CHACO
164.0,CHACO_LIBERTAD,"Libertad, Chaco",FRENTE PARA LA VICTORIA,35.85,64.15,3046,5450,86.2,9992,8613,0.95,0.0,0.41,82,0,35,CHACO
165.0,CHACO_MAIPU,"Maipu, Chaco",FRENTE PARA LA VICTORIA,40.49,59.51,5854,8605,73.45,19875,14598,0.84,0.0,0.11,123,0,16,CHACO
166.0,CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",FRENTE PARA LA VICTORIA,40.81,59.19,14493,21018,79.33,45436,36045,1.0,0.17,0.31,360,62,112,CHACO
167.0,CHACO_O'HIGGINS,"O'Higgins, Chaco",FRENTE PARA LA VICTORIA,27.87,72.13,3580,9267,77.62,16702,12964,0.62,0.0,0.29,80,0,37,CHACO
168.0,CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",FRENTE PARA LA VICTORIA,36.6,63.4,2613,4526,76.8,9419,7234,0.79,0.01,0.51,57,1,37,CHACO
169.0,CHACO_1° DE MAYO,"Primero De Mayo, Chaco",FRENTE PARA LA VICTORIA,39.35,60.65,3281,5057,86.32,9776,8439,0.82,0.0,0.38,69,0,32,CHACO
170.0,CHACO_QUITILIPI,"Quitilipi, Chaco",FRENTE PARA LA VICTORIA,42.15,57.85,8341,11448,74.59,26773,19969,0.67,0.0,0.24,133,0,47,CHACO
171.0,CHACO_SAN FERNANDO,"San Fernando, Chaco",FRENTE PARA LA VICTORIA,46.33,53.67,120939,140104,82.91,320552,265778,0.68,0.06,1.04,1805,162,2768,CHACO
172.0,CHACO_SAN LORENZO,"San Lorenzo, Chaco",FRENTE PARA LA VICTORIA,28.31,71.69,2704,6848,77.98,12377,9651,0.6,0.01,0.41,58,1,40,CHACO
173.0,CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",FRENTE PARA LA VICTORIA,31.86,68.14,3618,7737,81.46,14064,11456,0.62,0.0,0.26,71,0,30,CHACO
174.0,CHACO_TAPENAGA,"Tapenaga, Chaco",FRENTE PARA LA VICTORIA,30.73,69.27,695,1567,77.31,2962,2290,0.87,0.0,0.35,20,0,8,CHACO
