id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.83,0.37,1.11,57.88,0.29,0.6,7.53,0.33,0.1,0.62,0.33,3986,48,144,7482,37,78,973,43,13,80,43,71.87,18531,13318,2.59,0.02,0.33,345,2,44,CHACO
CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,27.12,0.22,0.88,60.54,0.2,0.54,9.5,0.07,0.12,0.52,0.29,1105,9,36,2467,8,22,387,3,5,21,12,73.84,5608,4141,1.45,0.0,0.14,60,0,6,CHACO
CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.65,0.76,1.26,63.91,0.7,1.36,7.79,0.6,0.16,0.35,0.45,3376,114,188,9527,104,203,1161,90,24,52,67,66.05,23195,15321,2.23,0.16,0.32,341,25,49,CHACO
CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.41,0.44,0.84,54.3,0.2,0.93,12.05,0.3,0.1,0.13,0.3,4741,68,131,8466,31,145,1879,47,16,20,46,70.12,22652,15884,1.38,0.04,0.43,219,6,69,CHACO
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.32,0.35,0.7,69.32,0.18,0.63,7.72,0.15,0.09,0.19,1.35,3387,62,122,12153,32,111,1353,27,16,33,236,66.21,26867,17789,1.25,0.01,0.19,223,1,33,CHACO
CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,17.36,0.55,1.18,64.95,0.84,0.84,12.97,0.42,0.19,0.37,0.32,2696,86,183,10087,131,131,2014,65,29,58,50,74.41,21403,15926,2.23,0.02,0.24,355,3,38,CHACO
CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.65,0.72,1.47,49.23,0.62,1.18,14.53,0.72,0.13,0.31,0.44,5459,128,261,8770,110,210,2589,128,24,56,78,72.41,25216,18258,1.93,0.01,0.5,353,1,91,CHACO
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.68,1.02,1.93,42.99,0.59,2.0,14.88,0.7,0.16,0.4,0.66,15963,468,889,19786,273,920,6847,320,75,185,303,64.01,74304,47561,2.36,0.08,0.78,1122,38,372,CHACO
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.01,0.23,0.61,56.13,0.13,0.77,7.77,0.13,0.01,0.07,0.13,2342,16,42,3866,9,53,535,9,1,5,9,71.66,9739,6979,1.26,0.0,0.06,88,0,4,CHACO
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.45,0.51,0.58,68.57,0.19,0.42,9.61,0.31,0.0,0.15,0.22,1146,30,34,4040,11,25,566,18,0,9,13,63.98,9376,5999,1.48,0.15,0.15,89,9,9,CHACO
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.71,0.3,1.19,59.96,0.4,0.69,10.2,0.72,0.11,0.57,6.14,1769,27,107,5380,36,62,915,65,10,51,551,81.97,11309,9270,1.87,0.08,1.26,173,7,117,CHACO
